Variety_0,Variety_1,Variety_2,Variety_3,Variety_4,Variety_5,Variety_6,Variety_7,Variety
1,0,1,1,0,0,1,1,NHRDF Fursungi
1,0,1,1,0,1,0,0,RED-4(NHRDF)
1,0,1,1,0,1,0,1,NETRAVATI(NIAW-1415)
1,0,1,1,0,1,1,0,PUSA NAV BAHAR
1,0,1,1,0,1,1,1,AKASH(BDNG-797)
1,0,1,1,1,0,0,0,TRAMBAK(NIAW-301)
1,0,1,1,1,0,0,1,VASUDHA(RSV-423)
1,0,1,1,1,0,1,0,UAS-428
1,0,1,1,1,0,1,1,PHULEANURADHA(RSV458)
1,0,1,1,1,1,0,0,SSF-1371
1,0,1,1,1,1,0,1,DBW-168
1,0,1,1,1,1,1,0,KENT
1,0,1,1,1,1,1,1,Shatabdi (ACN-9)
1,1,0,0,0,0,0,0,MACS-2971
1,1,0,0,0,0,0,1,Phule Rajmah (GRB-902).
1,1,0,0,0,0,1,0,MAHATEORA
1,1,0,0,0,0,1,1,JG-11(425-E)
1,1,0,0,0,1,0,0,BGD-111-1
1,1,0,0,0,1,0,1,IPM 410-3 (Shikha)
1,1,0,0,0,1,1,0,Phule Purna (JLT-408-2)(JLS-408-2)(Summer)
1,1,0,0,0,1,1,1,TAG-24
1,1,0,0,1,0,0,0,AKT-101
1,1,0,0,1,0,0,1,MORNA
